loc_acc_x,loc_acc_y,stamp
5.064792039648571e-06,0.0,1759203760795706443
-7.134126460779046e-06,0.0,1759203760816686245
6.474661724794573e-06,0.0,1759203760836817276
-7.183616734450538e-06,0.0,1759203760856662152
3.8253794538194475e-05,0.0,1759203760877064922
-7.528978488325345e-06,0.0,1759203760896289930
-9.876108801882734e-06,0.0,1759203760915474624
-5.837419093404988e-06,0.0,1759203760937710075
-8.689181503254705e-06,0.0,1759203760956015931
-1.1780211960873016e-05,0.0,1759203760977636125
3.8812997920675616e-06,0.0,1759203760996744029
-8.948284484451839e-06,0.0,1759203761016270114
4.516087094678351e-06,0.0,1759203761036830292
-9.06038918171031e-06,0.0,1759203761056455762
-9.126580957095145e-06,0.0,1759203761075797089
-2.6051046392085686e-06,0.0,1759203761097956218
-7.812121201804156e-06,0.0,1759203761115591360
-2.5803846921594885e-06,0.0,1759203761138363084
-7.982581026683701e-06,0.0,1759203761155680927
-9.391461258331025e-06,0.0,1759203761176595977
3.0632197411767394e-06,0.0,1759203761196981364
-7.895544194087969e-06,0.0,1759203761216693413
-1.1521379015880472e-06,0.0,1759203761236772722
-7.016649110842807e-06,0.0,1759203761256680448
-7.612126366422239e-06,0.0,1759203761276432086
5.82564680808618e-06,0.0,1759203761296873306
-6.5975003212739674e-06,0.0,1759203761316385392
5.541485602128946e-06,0.0,1759203761336804817
-6.818986059354319e-06,0.0,1759203761356598871
9.120800757722562e-06,0.0,1759203761377470501
-3.845300336858166e-06,0.0,1759203761395924710
-6.187271438916621e-06,0.0,1759203761415549842
-2.8816791524005907e-06,0.0,1759203761438226567
-5.782506860144406e-06,0.0,1759203761455829257
-8.908633690195976e-06,0.0,1759203761476586020
3.387754614264181e-06,0.0,1759203761497008898
-7.581277584487037e-06,0.0,1759203761516532856
4.007155658682963e-06,0.0,1759203761536755221
-7.422635343131453e-06,0.0,1759203761556537616
-7.49954537140472e-06,0.0,1759203761576141270
-1.8447727284303765e-06,0.0,1759203761597746653
-4.477915265949135e-06,0.0,1759203761615523224
-1.5048173855961958e-06,0.0,1759203761637979088
-4.319416189180967e-06,0.0,1759203761655810076
-7.395069085824163e-06,0.0,1759203761676290634
3.883304718515341e-06,0.0,1759203761697106898
-6.54181623838326e-06,0.0,1759203761716394434
4.318848592414388e-06,0.0,1759203761736635849
-6.23167071267601e-06,0.0,1759203761756823885
-6.403610106860189e-06,0.0,1759203761775627266
-1.7118765931062397e-06,0.0,1759203761797776067
-5.506981486314959e-06,0.0,1759203761815662131
-1.6564170380352693e-06,0.0,1759203761838418466
-5.515873716764469e-06,0.0,1759203761856136086
-6.602628713753678e-06,0.0,1759203761876809433
2.759906518499108e-06,0.0,1759203761896708181
-5.389248402097312e-06,0.0,1759203761916173051
-2.2020516964064112e-07,0.0,1759203761937286184
-5.026192226127196e-06,0.0,1759203761956762446
-5.600210692425392e-06,0.0,1759203761975648119
-1.4250790307829427e-06,0.0,1759203761997667875
-4.376293892155936e-06,0.0,1759203762015762838
-1.29899353539256e-06,0.0,1759203762037820219
-4.347381174294741e-06,0.0,1759203762055981923
-5.19328421555402e-06,0.0,1759203762076921149
3.9261483805320054e-07,0.0,1759203762097227131
-1.9323361442935523e-06,0.0,1759203762115886555
5.055082805630777e-07,0.0,1759203762137674928
-2.0198143929591113e-06,0.0,1759203762155692363
-4.709106136069884e-06,0.0,1759203762177007231
-1.5433026712595094e-05,0.0,1759203762197170971
-4.63214476866546e-06,0.0,1759203762216539429
-1.4296229973164776e-05,0.0,1759203762236724559
-2.9677503056231844e-06,0.0,1759203762257032428
-1.9065232755383175e-06,0.0,1759203762276399876
-6.384138459348139e-06,0.0,1759203762297465248
-3.220240322400417e-06,0.0,1759203762315821847
-5.281386075181463e-06,0.0,1759203762337886175
-1.9939450041558637e-06,0.0,1759203762355586029
1.3154249565046068e-06,0.0,1759203762377005142
-1.0067163658892431e-05,0.0,1759203762396911577
1.148907618841227e-06,0.0,1759203762416350767
-9.37862339941409e-06,0.0,1759203762436584388
1.8395809854305503e-06,0.0,1759203762456780631
2.4625249923627255e-06,0.0,1759203762475776163
-2.448528270525317e-06,0.0,1759203762497405753
2.0444090373206294e-06,0.0,1759203762515678678
-1.7767455541035152e-06,0.0,1759203762538441263
3.0888452087796943e-06,0.0,1759203762555506787
4.574655444680101e-06,0.0,1759203762576318151
1.339632192943749e-05,0.0,1759203762596808632
4.519071917974809e-06,0.0,1759203762616484281
8.695350146228474e-06,0.0,1759203762636808096
3.2230576644581197e-06,0.0,1759203762656688957
1.8775398962882575e-06,0.0,1759203762675915677
1.0877470813914643e-05,0.0,1759203762697558879
3.5856225915218455e-07,0.0,1759203762716411433
9.117307349448759e-06,0.0,1759203762736978663
-7.912466628568892e-07,0.0,1759203762756906991
-2.001572601186525e-06,0.0,1759203762777016955
3.0837813297148987e-06,0.0,1759203762797421750
4.99928406633936e-07,0.0,1759203762815526166
2.5479625962382325e-06,0.0,1759203762837794424
-5.8869122398855945e-08,0.0,1759203762856137406
-2.8886836431273557e-06,0.0,1759203762877066571
6.454833151884882e-06,0.0,1759203762896847629
-2.341279298253496e-06,0.0,1759203762916557653
6.038428750647372e-06,0.0,1759203762937276628
-3.2046261597201765e-06,0.0,1759203762956683621
-3.5157944824292106e-06,0.0,1759203762976302465
