steer,stamp
-5.370243798097363e-06,1759219279036192963
-5.370243798097363e-06,1759219279041186588
5.370243798097363e-06,1759219279046175547
5.370243798097363e-06,1759219279051157860
5.370243798097363e-06,1759219279056155613
0.0,1759219279061237598
0.0,1759219279066169549
0.0,1759219279071170916
5.370243798097363e-06,1759219279076185238
5.370243798097363e-06,1759219279081199699
-5.370243798097363e-06,1759219279086167703
0.0,1759219279091223945
0.0,1759219279096187631
0.0,1759219279101167709
0.0,1759219279106246170
0.0,1759219279111195299
5.370243798097363e-06,1759219279116185578
0.0,1759219279121152537
0.0,1759219279126231318
0.0,1759219279131185705
-5.370243798097363e-06,1759219279136204339
0.0,1759219279141250564
0.0,1759219279146150440
0.0,1759219279151172289
5.370243798097363e-06,1759219279156162215
0.0,1759219279161197316
0.0,1759219279166193665
0.0,1759219279171273750
-5.370243798097363e-06,1759219279176199785
5.370243798097363e-06,1759219279181162954
0.0,1759219279186182913
0.0,1759219279191194825
-5.370243798097363e-06,1759219279196167172
5.370243798097363e-06,1759219279201171220
0.0,1759219279206177746
-5.370243798097363e-06,1759219279211225506
0.0,1759219279216204231
-5.370243798097363e-06,1759219279221172588
0.0,1759219279226366273
-5.370243798097363e-06,1759219279231175635
5.370243798097363e-06,1759219279236178176
0.0,1759219279241176411
5.370243798097363e-06,1759219279246150834
0.0,1759219279251147362
-5.370243798097363e-06,1759219279256316790
-5.370243798097363e-06,1759219279261184109
-5.370243798097363e-06,1759219279266239981
0.0,1759219279271172683
5.370243798097363e-06,1759219279276195853
0.0,1759219279281199626
5.370243798097363e-06,1759219279286199096
5.370243798097363e-06,1759219279291203646
5.370243798097363e-06,1759219279296188104
0.0,1759219279301148555
-5.370243798097363e-06,1759219279306245535
5.370243798097363e-06,1759219279311154223
0.0,1759219279316191018
5.370243798097363e-06,1759219279321174171
0.0,1759219279326182768
0.0,1759219279331212538
0.0,1759219279336290772
0.0,1759219279341174521
0.0,1759219279346178402
0.0,1759219279351202459
0.0,1759219279356231374
0.0,1759219279361157804
5.370243798097363e-06,1759219279366160944
0.0,1759219279371195568
0.0,1759219279376157495
-5.370243798097363e-06,1759219279381195887
0.0,1759219279386240163
0.0,1759219279391185094
0.0,1759219279396260104
0.0,1759219279401193852
-5.370243798097363e-06,1759219279406185015
-1.0740487596194725e-05,1759219279411195518
0.0,1759219279416176428
-5.370243798097363e-06,1759219279421137290
0.0,1759219279426237196
-5.370243798097363e-06,1759219279431174429
5.370243798097363e-06,1759219279436208636
0.0,1759219279441187470
0.0,1759219279446195783
