#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
155.8326549,89630.16996879112,43168.60849767503,0.7134046,0.0609157,8.333,0.0
156.8315822,89629.55383007659,43169.36949038592,0.7782565,0.0624102,8.333,0.0
157.8305095,89628.93528708823,43170.08436258933,0.8375288,0.0556868,8.333,0.0
158.8294367,89628.32666117954,43170.765391885456,0.891832,0.0536877,8.333,0.0
159.828364,89627.69383419785,43171.37858164904,0.9460019,0.0562423,8.333,0.0
160.8272913,89627.05154814126,43171.98234872679,1.0022048,0.0549936,8.333,0.0
161.8262186,89626.40457347415,43172.581451309314,1.0529178,0.0465304,8.333,0.0
162.8251458,89625.67518278546,43173.18891537155,1.0899516,0.0205292,8.333,0.0
163.8240731,89624.93141488195,43173.809692824514,1.0906981,-0.0181745,8.333,0.0
164.8230004,89624.17326976362,43174.4437836682,1.0536813,-0.0554134,8.333,0.0
165.8219277,89623.33270862371,43175.08623599159,0.979392,-0.0837635,8.333,0.0
166.8208549,89622.61384788247,43175.75190552772,0.8841405,-0.1043355,8.333,-3.4711574
167.8197822,89621.9391467695,43176.46110691664,0.7658268,-0.1391053,7.9059485,-2.2401638
168.8187095,89621.34817754474,43177.21635189832,0.6044212,-0.1728779,7.617644,-1.6678291
169.8176368,89620.87754968824,43178.03485439277,0.4189112,-0.1935878,7.3957028,-0.2540107
170.816564,89620.3778625,43178.8624609,0.2233353,-0.2214474,7.361314,-0.2540107
171.8154913,89620.2607086,43179.844418,0.0225174,-0.1717034,7.3267638,2.5310779
172.8144186,89620.3091992,43180.8417873,-0.1045746,-0.082051,7.6640846,5.0246647
173.8133459,89620.4445458,43181.8004785,-0.1810193,-0.1001173,8.2931744,0.3314289
174.8122731,89620.6796417,43182.7688881,-0.30184,-0.1394303,8.333,0.0
175.8112004,89621.058066,43183.7223767,-0.4561632,-0.1483729,8.333,0.0
176.8101277,89621.5479548,43184.5700131,-0.588038,-0.1243526,8.333,0.0
177.809055,89622.1607211,43185.3773074,-0.7092842,-0.1172025,8.333,0.0
178.8079822,89622.8630481,43186.1030035,-0.8298661,-0.1233239,8.333,0.0
179.8069095,89623.6295168,43186.7215103,-0.9547197,-0.1289537,8.333,0.0
180.8058368,89624.4805146,43187.2450708,-1.0835426,-0.127508,8.333,0.0
181.8047641,89625.4129971,43187.6651411,-1.2095473,-0.1155182,8.333,0.0
182.8036913,89626.3952482,43187.972781,-1.3242929,-0.1113573,8.333,-0.5549215
183.8026186,89627.3812338,43188.1605346,-1.4446341,-0.1336765,8.2662105,-0.3173262
184.8015459,89628.3673926,43188.2113179,-1.6027829,-0.1772624,8.227774,-0.3173262
185.8004732,89629.400259,43188.0868372,-1.7713951,-0.134977,8.189157,1.189574
186.7994004,89630.3116809,43187.8534851,-1.8555449,-0.033152,8.333,0.0
187.7983277,89631.2103579,43187.5734809,-1.9054342,-0.1054627,8.333,0.0
188.797255,89632.1259306,43187.187629,-2.0404211,-0.1456253,8.333,0.0
189.7961823,89632.9612005,43186.693656,-2.15879,-0.0869394,8.333,0.0
190.7951095,89633.752776,43186.1253331,-2.2220204,-0.0484213,8.333,0.0
191.7940368,89634.5775708,43185.4680996,-2.2618664,-0.0292359,8.333,0.0
192.7929641,89635.3870211,43184.7808421,-2.2838989,-0.0083779,8.333,0.0
193.7918914,89636.1674404,43184.1064577,-2.2780372,0.0205205,8.333,0.0
194.7908186,89636.9310918,43183.4743252,-2.2401824,0.0588047,8.333,0.0
195.7897459,89637.78390095998,43182.957510299995,-2.1562052,0.1002155,8.333,0.0
196.7886732,89638.62265707999,43182.4517951,-2.0570886,0.0864098,8.333,0.0
197.7876005,89639.49640818,43182.01375138001,-1.9914669,0.0470868,8.333,0.0
198.7865277,89640.40717629998,43181.66247462,-1.9352804,0.0982498,8.333,0.0
199.785455,89641.33316564,43181.41657698,-1.8024339,0.161553,8.333,0.0
200.7843823,89642.29264279999,43181.28005432,-1.6407087,0.1497746,8.333,0.0
201.7833096,89643.2867226636,43181.36281386719,-1.5074471,0.1296156,8.333,0.0
202.7822368,89644.29475478656,43181.6159013844,-1.3753721,0.1287472,8.333,0.0
203.7811641,89645.30182066851,43182.0279623144,-1.2454239,0.1153012,8.333,0.0
204.7800914,89646.30524620808,43182.583022264844,-1.1451486,0.0870388,8.333,0.0
205.7790187,89647.31598250968,43183.19642625002,-1.0690381,0.06515,8.333,0.0
206.7779459,89648.26634639788,43183.909790752194,-1.01289,0.0444463,8.333,0.0
207.7768732,89649.11911405952,43184.47904134516,-0.9807684,0.0185165,8.333,0.0
208.7758005,89649.95861974721,43185.05624089748,-0.9763071,-0.0101875,8.333,0.0
209.7747278,89650.9082865784,43185.54134574493,-1.0003947,-0.0341135,8.333,0.0
210.773655,89652.01347949574,43186.0281996032,-1.038944,-0.0432294,8.333,0.0
211.7725823,89652.97888123,43186.45346028542,-1.0844966,-0.0470586,8.333,0.0
212.7715096,89653.97112307182,43186.78484268277,-1.1338585,-0.0567982,8.333,0.0
213.7704369,89654.94760271133,43187.0355316776,-1.2018729,-0.0800422,8.333,0.0
214.7693641,89655.81791402579,43187.14848928002,-1.2969999,-0.1101882,8.333,-0.4638335
215.7682914,89656.65953691797,43187.17361317058,-1.4252886,-0.1188445,8.2772107,-3.4582855
216.7672187,89657.50327429382,43187.10858830935,-1.5364592,-0.0920581,7.8487621,-6.2514277
217.766146,89658.25140716758,43186.97815377993,-1.6175288,-0.0790095,7.0081112,-3.0518621
218.7650732,89658.94304475028,43186.75988130852,-1.7350416,-0.2127042,6.5586924,-0.1997688
